"Año";"Periodo";"Nº total de parados en España"
"2001";"Enero";"2.017.389"
"2001";"Febrero";"1.993.273"
"2001";"Marzo";"1.981.006"
"2001";"Abril";"1.910.453"
"2001";"Mayo";"1.898.285"
"2001";"Junio";"1.842.556"
"2001";"Julio";"1.835.738"
"2001";"Agosto";"1.878.513"
"2001";"Septiembre";"1.889.185"
"2001";"Octubre";"1.940.910"
"2001";"Noviembre";"1.985.857"
"2001";"Diciembre";"1.988.716"
"2002";"Enero";"2.075.022"
"2002";"Febrero";"2.149.907"
"2002";"Marzo";"2.083.103"
"2002";"Abril";"2.060.069"
"2002";"Mayo";"2.002.923"
"2002";"Junio";"1.962.963"
"2002";"Julio";"1.961.852"
"2002";"Agosto";"1.983.982"
"2002";"Septiembre";"2.006.785"
"2002";"Octubre";"2.064.513"
"2002";"Noviembre";"2.117.144"
"2002";"Diciembre";"2.127.018"
"2003";"Enero";"2.185.156"
"2003";"Febrero";"2.180.216"
"2003";"Marzo";"2.163.499"
"2003";"Abril";"2.104.474"
"2003";"Mayo";"2.035.601"
"2003";"Junio";"2.020.367"
"2003";"Julio";"1.995.964"
"2003";"Agosto";"2.016.675"
"2003";"Septiembre";"2.039.630"
"2003";"Octubre";"2.096.606"
"2003";"Noviembre";"2.143.206"
"2003";"Diciembre";"2.181.248"
"2004";"Enero";"2.232.560"
"2004";"Febrero";"2.219.300"
"2004";"Marzo";"2.181.546"
"2004";"Abril";"2.162.406"
"2004";"Mayo";"2.090.702"
"2004";"Junio";"2.054.113"
"2004";"Julio";"2.014.218"
"2004";"Agosto";"2.049.639"
"2004";"Septiembre";"2.050.513"
"2004";"Octubre";"2.075.812"
"2004";"Noviembre";"2.121.089"
"2004";"Diciembre";"2.112.714"
"2005";"Enero";"2.176.599"
"2005";"Febrero";"2.165.420"
"2005";"Marzo";"2.144.835"
"2005";"Abril";"2.095.945"
"2005";"Mayo";"2.007.393"
"2005";"Junio";"1.974.860"
"2005";"Julio";"1.989.417"
"2005";"Agosto";"2.019.110"
"2005";"Septiembre";"2.013.286"
"2005";"Octubre";"2.052.861"
"2005";"Noviembre";"2.095.580"
"2005";"Diciembre";"2.102.937"
"2006";"Enero";"2.171.503"
"2006";"Febrero";"2.169.277"
"2006";"Marzo";"2.148.530"
"2006";"Abril";"2.075.676"
"2006";"Mayo";"2.004.528"
"2006";"Junio";"1.959.754"
"2006";"Julio";"1.954.984"
"2006";"Agosto";"1.983.677"
"2006";"Septiembre";"1.966.166"
"2006";"Octubre";"1.992.836"
"2006";"Noviembre";"2.023.164"
"2006";"Diciembre";"2.022.873"
"2007";"Enero";"2.082.508"
"2007";"Febrero";"2.075.275"
"2007";"Marzo";"2.059.451"
"2007";"Abril";"2.023.124"
"2007";"Mayo";"1.973.231"
"2007";"Junio";"1.965.869"
"2007";"Julio";"1.970.338"
"2007";"Agosto";"2.028.296"
"2007";"Septiembre";"2.017.363"
"2007";"Octubre";"2.048.577"
"2007";"Noviembre";"2.094.473"
"2007";"Diciembre";"2.129.547"
"2008";"Enero";"2.261.925"
"2008";"Febrero";"2.315.331"
"2008";"Marzo";"2.300.975"
"2008";"Abril";"2.338.517"
"2008";"Mayo";"2.353.575"
"2008";"Junio";"2.390.424"
"2008";"Julio";"2.426.916"
"2008";"Agosto";"2.530.001"
"2008";"Septiembre";"2.625.368"
"2008";"Octubre";"2.818.026"
"2008";"Noviembre";"2.989.269"
"2008";"Diciembre";"3.128.963"
"2009";"Enero";"3.327.801"
"2009";"Febrero";"3.481.859"
"2009";"Marzo";"3.605.402"
"2009";"Abril";"3.644.880"
"2009";"Mayo";"3.620.139"
"2009";"Junio";"3.564.889"
"2009";"Julio";"3.544.095"
"2009";"Agosto";"3.629.080"
"2009";"Septiembre";"3.709.447"
"2009";"Octubre";"3.808.353"
"2009";"Noviembre";"3.868.946"
"2009";"Diciembre";"3.923.603"
"2010";"Enero";"4.048.493"
"2010";"Febrero";"4.130.625"
"2010";"Marzo";"4.166.613"
"2010";"Abril";"4.142.425"
"2010";"Mayo";"4.066.202"
"2010";"Junio";"3.982.368"
"2010";"Julio";"3.908.578"
"2010";"Agosto";"3.969.661"
"2010";"Septiembre";"4.017.763"
"2010";"Octubre";"4.085.976"
"2010";"Noviembre";"4.110.294"
"2010";"Diciembre";"4.100.073"
"2011";"Enero";"4.231.003"
"2011";"Febrero";"4.299.263"
"2011";"Marzo";"4.333.669"
"2011";"Abril";"4.269.360"
"2011";"Mayo";"4.189.659"
"2011";"Junio";"4.121.801"
"2011";"Julio";"4.079.742"
"2011";"Agosto";"4.130.927"
"2011";"Septiembre";"4.226.744"
"2011";"Octubre";"4.360.926"
"2011";"Noviembre";"4.420.462"
"2011";"Diciembre";"4.422.359"
"2012";"Enero";"4.599.829"
"2012";"Febrero";"4.712.098"
"2012";"Marzo";"4.750.867"
"2012";"Abril";"4.744.235"
"2012";"Mayo";"4.714.122"
"2012";"Junio";"4.615.269"
"2012";"Julio";"4.587.455"
"2012";"Agosto";"4.625.634"
"2012";"Septiembre";"4.705.279"
"2012";"Octubre";"4.833.521"
"2012";"Noviembre";"4.907.817"
"2012";"Diciembre";"4.848.723"
"2013";"Enero";"4.980.778"
"2013";"Febrero";"5.040.222"
"2013";"Marzo";"5.035.243"
"2013";"Abril";"4.989.193"
"2013";"Mayo";"4.890.928"
"2013";"Junio";"4.763.680"
"2013";"Julio";"4.698.814"
"2013";"Agosto";"4.698.783"
"2013";"Septiembre";"4.724.355"
"2013";"Octubre";"4.811.383"
"2013";"Noviembre";"4.808.908"
"2013";"Diciembre";"4.701.338"
"2014";"Enero";"4.814.435"
"2014";"Febrero";"4.812.486"
"2014";"Marzo";"4.795.866"
"2014";"Abril";"4.684.301"
"2014";"Mayo";"4.572.385"
"2014";"Junio";"4.449.701"
"2014";"Julio";"4.419.860"
"2014";"Agosto";"4.427.930"
"2014";"Septiembre";"4.447.650"
"2014";"Octubre";"4.526.804"
"2014";"Noviembre";"4.512.116"
"2014";"Diciembre";"4.447.711"
"2015";"Enero";"4.525.691"
"2015";"Febrero";"4.512.153"
"2015";"Marzo";"4.451.939"
"2015";"Abril";"4.333.016"
"2015";"Mayo";"4.215.031"
"2015";"Junio";"4.120.304"
"2015";"Julio";"4.046.276"
"2015";"Agosto";"4.067.955"
"2015";"Septiembre";"4.094.042"
"2015";"Octubre";"4.176.369"
"2015";"Noviembre";"4.149.298"
"2015";"Diciembre";"4.093.508"
"2016";"Enero";"4.150.755"
"2016";"Febrero";"4.152.986"
"2016";"Marzo";"4.094.770"
"2016";"Abril";"4.011.171"
"2016";"Mayo";"3.891.403"
"2016";"Junio";"3.767.054"
"2016";"Julio";"3.683.061"
"2016";"Agosto";"3.697.496"
"2016";"Septiembre";"3.720.297"
"2016";"Octubre";"3.764.982"
"2016";"Noviembre";"3.789.823"
"2016";"Diciembre";"3.702.974"
"2017";"Enero";"3.760.231"
"2017";"Febrero";"3.750.876"
"2017";"Marzo";"3.702.317"
"2017";"Abril";"3.573.036"
"2017";"Mayo";"3.461.128"
"2017";"Junio";"3.362.811"
"2017";"Julio";"3.335.924"
"2017";"Agosto";"3.382.324"
"2017";"Septiembre";"3.410.182"
"2017";"Octubre";"3.467.026"
"2017";"Noviembre";"3.474.281"
"2017";"Diciembre";"3.412.781"
"2018";"Enero";"3.476.528"
"2018";"Febrero";"3.470.248"
"2018";"Marzo";"3.422.551"
"2018";"Abril";"3.335.868"
"2018";"Mayo";"3.252.130"
"2018";"Junio";"3.162.162"
"2018";"Julio";"3.135.021"
"2018";"Agosto";"3.182.068"
"2018";"Septiembre";"3.202.509"
"2018";"Octubre";"3.254.703"
"2018";"Noviembre";"3.252.867"
"2018";"Diciembre";"3.202.297"
"2019";"Enero";"3.285.761"
"2019";"Febrero";"3.289.040"
"2019";"Marzo";"3.255.084"
"2019";"Abril";"3.163.566"
"2019";"Mayo";"3.079.491"
"2019";"Junio";"3.015.686"
"2019";"Julio";"3.011.433"
"2019";"Agosto";"3.065.804"
"2019";"Septiembre";"3.079.711"
"2019";"Octubre";"3.177.659"
"2019";"Noviembre";"3.198.184"
"2019";"Diciembre";"3.163.605"
"2020";"Enero";"3.253.853"
"2020";"Febrero";"3.246.047"
"2020";"Marzo";"3.548.312"
"2020";"Abril";"3.831.203"
"2020";"Mayo";"3.857.776"
"2020";"Junio";"3.862.883"
"2020";"Julio";"3.773.034"
"2020";"Agosto";"3.802.814"
"2020";"Septiembre";"3.776.485"
"2020";"Octubre";"3.826.043"
"2020";"Noviembre";"3.851.312"
"2020";"Diciembre";"3.888.137"
"2021";"Enero";"3.964.353"
"2021";"Febrero";"4.008.789"
"2021";"Marzo";"3.949.640"
"2021";"Abril";"3.910.628"
"2021";"Mayo";"3.781.250"
"2021";"Junio";"3.614.339"
"2021";"Julio";"3.416.498"
"2021";"Agosto";"3.333.915"
"2021";"Septiembre";"3.257.802"
"2021";"Octubre";"3.257.068"
"2021";"Noviembre";"3.182.687"
"2021";"Diciembre";"3.105.905"
"2022";"Enero";"3.123.078"
"2022";"Febrero";"3.111.684"
"2022";"Marzo";"3.108.763"
"2022";"Abril";"3.022.503"
"2022";"Mayo";"2.922.991"
"2022";"Junio";"2.880.582"
"2022";"Julio";"2.883.812"
"2022";"Agosto";"2.924.240"
"2022";"Septiembre";"2.941.919"
"2022";"Octubre";"2.914.892"
"2022";"Noviembre";"2.881.380"
"2022";"Diciembre";"2.837.653"
"2023";"Enero";"2.908.397"
"2023";"Febrero";"2.911.015"
;;
;;
"Métrica":"Nº total de parados en España"
"Fuente":"Ministerio de Empleo y Seguridad Social"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/asi-evoluciona-paro-espana/57169e9e-1863-4a8d-92a6-ebb618f50fd9/espana/106"
"Titulo":"Así ha evolucionado el paro en España"
"Subtitulo":"Evolución mensual del paro registrado en España"
